name,address,phone,website
Milky Way Logistics,"The Gherkin, 30 St Mary Axe, London EC3A 8BF, UK",020 7971 7888,https://www.mwll.co.uk/
Worldwide Logistics Group UK,"Unit 16 Thames Gateway Park, Chequers Ln, Barking, Dagenham RM9 6FB, UK",020 3900 2474,https://worldwidelogisticsltd.com/uk/
Atlas Logistics UK,"International House, Garretts Green Ln, Birmingham B33 0UE, UK",0121 783 6564,http://atlaslogistics.co.uk/
K G Logistics,"F3 Knights Park, Knights Road, Rochester, Strood Rochester ME2 2LS, UK",01634 540109,https://www.kg-logistics.co.uk/
Aylesbury Logistics Ltd,"5a Telford Cl, Aylesbury HP19 8DS, UK",01296 399955,http://www.aylesburylogistics.co.uk/
Bigsam Global Logistics Ltd UK,"1 Kay St, Manchester M11 2DX, UK",0161 223 2750,http://bigsamgloballogistics.com/
MA Logistics Ltd,"Maritime House, 71-73 Church Rd, Litherland, Liverpool L21 7LF, UK",0151 257 6300,https://www.malogistics.com/
OnLogistics,"Unit 23 Elmdon Trading Estate, Bickenhill Ln, Marston Green, Birmingham B37 7HE, UK",0121 292 0180,https://www.onlogistics.co.uk/
Logistics World Limited,"Suite 6, Birch House, Birch Ln, Aldridge, Walsall WS9 0NF, UK",01922 454000,http://www.logisticsworldltd.co.uk/
FMC Logistics (UK),"Star Business Centre, Marsh Wy, Rainham RM13 8UP, UK",01708 253880,https://fmclog.co.uk/
AFB Logistics LTD.,"Unit 1A Makerfield Way, Ince-in-Makerfield, Wigan WN2 2PR, UK",01942 498304,
Logistics Zone,"32 Springfield Rd, Manchester B13 9NW, UK",07855 592933,http://logisticszone.club/
Courier Logistics Ltd,"Unit A, 22-27 Kingfisher Wy, Dinnington, Sheffield S25 3AF, UK",01709 369369,http://www.courierlogistics.co.uk/
NF Global Logistics Ltd,"7, Hawthorne court, Howley Park Rd, Morley, Leeds LS27 0FD, UK",0113 205 9525,http://www.nfglobal.co.uk/
Space Logistics,"10 Spring Rd, Birmingham, Smethwick B66 1PE, UK",0121 758 5400,http://spacelogistics.co.uk/
Trans Global Logistics UK Limited,"Fieldroad (beside, Esso-Station, Mildenhall, Bury Saint Edmunds IP28 7AL, UK",01638 515714,http://tglog.co.uk/
Premier Logistics,"Premier House, Bardon Hill, Beveridge Ln, Bardon Hill, Coalville LE67 1TA, UK",01530 277890,https://premier-logistics.co.uk/
PH Logistics UK Limited,"Garret Green Freight Depot, Bannerley Rd, Garrett's Green, Birmingham B33 0SL, UK",0121 740 1274,http://phlogistics.co.uk/
Complete Logistics Ltd,"Gilmorton Rd, Lutterworth LE17 4DU, UK",01455 558812,
London Logistics Ltd,"151 Nathan Way, London SE28 0AB, UK",020 8312 0144,https://www.londonlogistics.net/
Global Freight Logistics Limited,"Astra House, Southfields Business Park, Christy Way, Basildon SS15 6TQ, UK",01708 981990,http://www.globalfreightlogisticsltd.com/
Planet Logistics,"B6, Waterwells Business Park, Baird Rd, Quedgeley, Gloucester GL2 2AF, UK",01452 722322,http://www.planetlogistics.co.uk/
Freight Logistics Solutions,"Skewfields, Lower Mill, Pontypool NP4 0XZ, UK",01633 288400,http://www.freightlogisticssolutions.co.uk/
Kidderminster logistics Ltd,"Borrington Rd, Kidderminster DY10 3ED, UK",07585 956239,https://kidderminsterlogistics.co.uk/
Chain Logistics Services,"Unimix House, Abbey Rd, London NW10 7TR, UK",020 8166 5936,http://www.chain-logistics.co.uk/
FREEDOM LOGISTICS UK LTD,"SBIC, Broadstone Mill, Broadstone Road, Reddish, Stockport SK5 7DL, UK",0161 660 9126,http://www.freedomlogisticsuk.com/
Express Logistic (Lincs) LTD,"Compound 2, Riverside Industrial Estate, CALLEN ROAD, Boston PE21 7TN, UK",07383 763323,http://expresslogistic.uk/
Inwood Logistics Ltd,"Inwood Business Centre, Whitton Rd, Hounslow TW3 2EB, UK",020 8577 8435,https://www.inwoodlogistics.com/
Cavalier Logistics UK Ltd,"Unit 3 Felthambrook Way, Feltham TW13 7DU, UK",020 3887 1350,https://cavlog.co.uk/
Luxe Logistics Limited,"2 Dashwood Ave, High Wycombe HP12 3DN, UK",020 3840 6004,http://www.luxelogistics.co.uk/
Park Logistics,"Colwick Industrial Estate, Private Road No.4, Colwick, Netherfield, Nottingham NG4 2JT, UK",0115 940 3332,http://www.parklogistics.co.uk/
Kerry Logistics (UK) Limited,"1, Broadoak Business Park, Ashburton Rd W, Trafford Park, Stretford, Manchester M17 1RW, UK",0161 873 8777,http://www.kerrylogistics.com/
GE Logistics LTD,"136 Tilbury Rd, London E10 6RE, UK",020 8050 3585,http://gelogistics.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15283010599220166543
Plus UK Logistics,"unit 9, Towers Business Park, 11 Carey Way, Wembley HA9 0LQ, UK",0161 914 9072,https://plusuklogistics.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=london
Suffolk Logistics,"10 Cooke Rd, Lowestoft NR33 7NA, UK",01502 514566,http://www.suffolklogistics.com/
National Logistics,"61-64 Sapcote Trading Center, Powke Lane, Cradley Heath B64 5QX, UK",0121 794 2288,http://nationallogistics.co.uk/
The Logistics Organisation Ltd,"Zone 2, Sion Park, Stansted Rd, TLO CM23 5PU, UK",020 3051 0506,http://www.tlo.fun/
Life Couriers,"Unit 17, Easter Park, Lenton Ln., Lenton, Nottingham NG7 2PX, UK",0808 512 0013,http://www.visionlogistics.uk/
Kerry Logistics (UK) Limited,"Crossways Cargo Centre, 61 Galleon Blvd, Dartford DA2 6QE, UK",01322 296050,https://www.kerrylogistics.com/en/network/europe/uk/
Logos Logistics Ltd,"4 Young Place Kelvin Industrial Estate, East Kilbride, Glasgow G75 0TD, UK",01355 202103,http://www.logoslogistics.com/
First 4 Logistics,"Logistics House, Beach Rd, Newhaven BN9 0BX, UK",01273 458620,https://first4logistics.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb_website_click
MY Logistics Limited,"Spen Valley House, Industrial Park, Rawfolds, Cleckheaton BD19 5LJ, UK",01274 871646,http://www.mylogisticsltd.co.uk/
Universal logistics UK,"Leathwaite Road, Camberley, London E1 6AN, UK",020 8890 2800,http://www.transuniversal.co.uk/
247 Logistics Ltd,"960 Capability Grn, Luton LU1 3PE, UK",01582 635913,
TG Logistics Ltd,"3a, J Y W House, Bridge Rd, Haywards Heath RH16 1UA, UK",01444 417675,http://www.tglogistics.co.uk/
Logistic Solutions UK & Europe Ltd,"21 Tenter Rd, Northampton NN3 6AX, UK",01604 678450,http://www.logsol.net/
Hanson Logistics Ltd,"7 Ashgrove Rd, Huddersfield HD2 1FQ, UK",01484 450950,http://www.hanson-logistics.com/
A&D Logistics,"Pegasus Avenue, Paisley, Linwood PA1 2FE, UK",01505 329539,https://adlogistics.co.uk/
